price_coffee,price_oil,prediction
2165.0,90.02,2043.5017
2166.0,88.41,2053.44
2175.0,87.14,2064.0273
2194.0,88.11,2073.6494
2220.0,91.77,2082.846
2200.0,93.59,2092.5017
2197.0,92.78,2100.7908
2267.0,93.27,2106.6191
2356.0,95.46,2112.9514
2357.0,95.5,2123.4895
2380.0,100.01,2138.328
2380.0,100.74,2157.8862
2436.0,98.23,2180.811
2495.0,98.81,2204.1343
2561.0,99.23,2224.838
2527.0,100.88,2244.001
2624.0,99.64,2261.2896
2711.0,102.59,2281.2302
2718.0,101.84,2306.7463
2721.0,102.45,2332.4836
2722.0,99.52,2354.321
2751.0,104.52,2368.4685
2588.0,105.47,2374.717
2469.0,105.15,2360.8035
2481.0,107.9,2328.5322
2517.0,108.75,2291.4382
2587.0,109.92,2265.53
2676.0,110.33,2258.0598
2566.0,110.21,2273.8425
2381.0,105.68,2296.058
2391.0,109.42,2315.211
2280.0,104.48,2308.123
2188.0,101.84,2273.209
2240.0,101.22,2215.0188
2242.0,105.9,2161.6414
2314.0,107.58,2127.5327
2255.0,105.62,2119.6113
2234.0,101.58,2131.4568
2208.0,100.98,2145.416
2197.0,104.83,2154.7278
2220.0,103.83,2156.6592
2212.0,106.23,2147.8003
2210.0,109.09,2130.92
2213.0,108.5,2116.3984
2255.0,110.87,2112.9258
2233.0,110.11,2114.98
2233.0,110.14,2120.395
2235.0,111.76,2127.7163
2235.0,113.79,2133.01
2271.0,114.93,2135.5933
2330.0,114.86,2136.0586
2272.0,116.69,2139.4678
2239.0,117.48,2145.9446
2320.0,119.37,2152.4565
2260.0,118.3,2159.123
2256.0,116.06,2161.9675
2213.0,118.52,2159.4146
2255.0,118.75,2151.31
2220.0,115.63,2142.888
2220.0,113.46,2134.1267
2106.0,112.52,2126.8528
2105.0,116.32,2118.1274
2105.0,119.97,2104.85
2120.0,121.84,2085.7864
2101.0,123.53,2069.9055
2101.0,123.69,2058.8682
2180.0,125.96,2056.7632
2208.0,124.23,2060.943
2218.0,125.8,2068.8706
2205.0,124.22,2083.8252
2205.0,124.12,2099.9019
2234.0,126.29,2114.8333
2215.0,127.05,2124.8252
2237.0,129.07,2129.0842
2281.0,133.17,2128.7134
2202.0,130.81,2129.149
2205.0,132.19,2130.2695
2195.0,128.85,2131.0066
2144.0,131.03,2128.996
2120.0,126.62,2121.1262
2212.0,127.35,2106.069
2251.0,127.76,2091.1682
2206.0,124.31,2087.9692
2192.0,122.3,2094.8467
2245.0,127.79,2107.1294
2202.0,138.54,2121.4058
2138.0,134.35,2130.3838
2169.0,131.31,2129.0273
2160.0,136.38,2121.1497
2184.0,136.74,2106.152
2184.0,134.86,2094.8372
2197.0,134.61,2088.4917
2239.0,134.01,2092.2502
2230.0,136.68,2100.9773
2223.0,131.93,2113.259
2315.0,134.62,2124.3906
2296.0,136.74,2134.4934
2291.0,137.0,2146.522
2334.0,134.55,2157.7024
2384.0,139.64,2166.8896
2361.0,140.21,2178.403
2396.0,140.0,2191.6985
2465.0,140.97,2202.8762
2463.0,143.57,2215.9324
2416.0,145.29,2231.466
2368.0,141.37,2244.2727
2248.0,136.04,2247.6926
2253.0,136.05,2232.1262
2271.0,141.65,2201.021
2261.0,145.08,2167.1443
2277.0,145.18,2142.0325
2260.0,138.74,2138.0066
2264.0,134.6,2142.9236
2257.0,129.29,2152.488
2251.0,128.88,2158.8616
2253.0,131.04,2164.504
2278.0,127.95,2163.3005
2230.0,124.44,2157.8975
2225.0,125.49,2151.1355
2261.0,123.26,2144.5103
2245.0,124.73,2140.882
2286.0,122.19,2139.9526
2287.0,126.77,2140.539
2317.0,124.08,2143.9272
2337.0,125.1,2152.4514
2261.0,121.41,2163.09
2340.0,119.17,2171.9343
2320.0,118.58,2178.7603
2340.0,120.02,2181.4465
2295.0,115.2,2181.9636
2292.0,114.45,2179.877
2265.0,113.01,2176.864
2210.0,116.0,2172.3223
2203.0,115.01,2161.7927
2170.0,113.77,2145.758
2223.0,112.87,2127.1091
2258.0,114.53,2112.1934
2250.0,114.98,2107.8218
2250.0,121.18,2112.808
2260.0,114.59,2123.0103
2260.0,115.11,2136.8784
2300.0,116.27,2148.0881
2275.0,118.15,2154.978
2260.0,115.59,2157.9268
2275.0,115.46,2157.6294
2225.0,109.71,2155.4827
2195.0,109.35,2151.2222
2196.0,107.89,2143.2139
2148.0,106.23,2129.7698
2162.0,106.34,2114.1553
2147.0,103.26,2098.8096
2158.0,102.58,2087.5461
2147.0,100.87,2082.4102
2149.0,101.18,2079.2578
2164.0,95.71,2080.0474
2062.0,91.15,2082.1406
2066.0,97.16,2079.3916
2063.0,97.88,2072.3594
2097.0,104.55,2059.1948
2141.0,120.92,2045.721
2123.0,106.61,2037.9119
2128.0,105.73,2043.1316
2146.0,108.02,2053.0396
2077.0,106.89,2064.473
2011.0,96.37,2070.9485
1992.0,100.64,2067.2856
1980.0,98.53,2051.7795
1945.0,93.97,2016.4187
1921.0,93.88,1969.8552
1816.0,87.81,1934.9818
1826.0,90.06,1897.3739
1715.0,88.95,1851.9501
1773.0,86.59,1795.4777
1700.0,77.7,1755.6804
1763.0,81.19,1730.1317
1793.0,78.63,1721.7501
1722.0,74.54,1719.9552
1715.0,69.85,1720.6074
1740.0,71.85,1721.0012
1724.0,74.25,1722.458
1718.0,70.89,1722.74
1693.0,66.75,1721.9882
1650.0,67.84,1719.3358
1610.0,64.15,1713.3914
1542.0,63.22,1704.3948
1545.0,62.73,1689.1788
1562.0,67.5,1667.6465
1537.0,65.96,1635.8734
1558.0,67.81,1605.828
1561.0,63.91,1586.1125
1675.0,70.53,1571.3112
1695.0,65.3,1563.0988
1621.0,60.77,1564.5912
1625.0,61.04,1573.2113
1745.0,62.41,1586.3176
