Date,price_coffee,price_oil
2008-01-14,2051.0,94.2
2008-01-15,2036.0,91.9
2008-01-16,2040.0,90.84
2008-01-17,2037.0,90.13
2008-01-18,2027.0,90.57
2008-01-22,2073.0,89.85
2008-01-23,2062.0,86.99
2008-01-24,2057.0,89.41
2008-01-25,2051.0,90.71
2008-01-28,2075.0,90.99
2008-01-29,2092.0,91.64
2008-01-30,2113.0,92.33
2008-01-31,2108.0,91.75
2008-02-01,2130.0,88.96
2008-02-04,2165.0,90.02
2008-02-05,2166.0,88.41
2008-02-06,2175.0,87.14
2008-02-07,2194.0,88.11
2008-02-08,2220.0,91.77
2008-02-11,2200.0,93.59
2008-02-12,2197.0,92.78
2008-02-13,2267.0,93.27
2008-02-14,2356.0,95.46
2008-02-15,2357.0,95.5
2008-02-19,2380.0,100.01
2008-02-20,2380.0,100.74
2008-02-21,2436.0,98.23
2008-02-22,2495.0,98.81
2008-02-25,2561.0,99.23
2008-02-26,2527.0,100.88
2008-02-27,2624.0,99.64
2008-02-28,2711.0,102.59
2008-02-29,2718.0,101.84
2008-03-03,2721.0,102.45
2008-03-04,2722.0,99.52
2008-03-05,2751.0,104.52
2008-03-06,2588.0,105.47
2008-03-07,2469.0,105.15
2008-03-10,2481.0,107.9
2008-03-11,2517.0,108.75
2008-03-12,2587.0,109.92
2008-03-13,2676.0,110.33
2008-03-14,2566.0,110.21
2008-03-17,2381.0,105.68
2008-03-18,2391.0,109.42
2008-03-19,2280.0,104.48
2008-03-20,2188.0,101.84
2008-03-25,2240.0,101.22
2008-03-26,2242.0,105.9
2008-03-27,2314.0,107.58
2008-03-28,2255.0,105.62
2008-03-31,2234.0,101.58
2008-04-01,2208.0,100.98
2008-04-02,2197.0,104.83
2008-04-03,2220.0,103.83
2008-04-04,2212.0,106.23
2008-04-07,2210.0,109.09
2008-04-08,2213.0,108.5
2008-04-09,2255.0,110.87
2008-04-10,2233.0,110.11
2008-04-11,2233.0,110.14
2008-04-14,2235.0,111.76
2008-04-15,2235.0,113.79
2008-04-16,2271.0,114.93
2008-04-17,2330.0,114.86
2008-04-18,2272.0,116.69
2008-04-21,2239.0,117.48
2008-04-22,2320.0,119.37
2008-04-23,2260.0,118.3
2008-04-24,2256.0,116.06
2008-04-25,2213.0,118.52
2008-04-28,2255.0,118.75
2008-04-29,2220.0,115.63
2008-04-30,2220.0,113.46
2008-05-01,2106.0,112.52
2008-05-02,2105.0,116.32
2008-05-05,2105.0,119.97
2008-05-06,2120.0,121.84
2008-05-07,2101.0,123.53
2008-05-08,2101.0,123.69
2008-05-09,2180.0,125.96
2008-05-12,2208.0,124.23
2008-05-13,2218.0,125.8
2008-05-14,2205.0,124.22
2008-05-15,2205.0,124.12
2008-05-16,2234.0,126.29
2008-05-19,2215.0,127.05
2008-05-20,2237.0,129.07
2008-05-21,2281.0,133.17
2008-05-22,2202.0,130.81
2008-05-23,2205.0,132.19
2008-05-27,2195.0,128.85
2008-05-28,2144.0,131.03
2008-05-29,2120.0,126.62
2008-05-30,2212.0,127.35
2008-06-02,2251.0,127.76
2008-06-03,2206.0,124.31
2008-06-04,2192.0,122.3
2008-06-05,2245.0,127.79
2008-06-06,2202.0,138.54
2008-06-09,2138.0,134.35
2008-06-10,2169.0,131.31
2008-06-11,2160.0,136.38
2008-06-12,2184.0,136.74
2008-06-13,2184.0,134.86
2008-06-16,2197.0,134.61
2008-06-17,2239.0,134.01
2008-06-18,2230.0,136.68
2008-06-19,2223.0,131.93
2008-06-20,2315.0,134.62
2008-06-23,2296.0,136.74
2008-06-24,2291.0,137.0
2008-06-25,2334.0,134.55
2008-06-26,2384.0,139.64
2008-06-27,2361.0,140.21
2008-06-30,2396.0,140.0
2008-07-01,2465.0,140.97
2008-07-02,2463.0,143.57
2008-07-03,2416.0,145.29
2008-07-07,2368.0,141.37
2008-07-08,2248.0,136.04
2008-07-09,2253.0,136.05
2008-07-10,2271.0,141.65
2008-07-11,2261.0,145.08
2008-07-14,2277.0,145.18
2008-07-15,2260.0,138.74
2008-07-16,2264.0,134.6
2008-07-17,2257.0,129.29
2008-07-18,2251.0,128.88
2008-07-21,2253.0,131.04
2008-07-22,2278.0,127.95
2008-07-23,2230.0,124.44
2008-07-24,2225.0,125.49
2008-07-25,2261.0,123.26
2008-07-28,2245.0,124.73
2008-07-29,2286.0,122.19
2008-07-30,2287.0,126.77
2008-07-31,2317.0,124.08
2008-08-01,2337.0,125.1
2008-08-04,2261.0,121.41
2008-08-05,2340.0,119.17
2008-08-06,2320.0,118.58
2008-08-07,2340.0,120.02
2008-08-08,2295.0,115.2
2008-08-11,2292.0,114.45
2008-08-12,2265.0,113.01
2008-08-13,2210.0,116.0
2008-08-14,2203.0,115.01
2008-08-15,2170.0,113.77
2008-08-18,2223.0,112.87
2008-08-19,2258.0,114.53
2008-08-20,2250.0,114.98
2008-08-21,2250.0,121.18
2008-08-22,2260.0,114.59
2008-08-25,2260.0,115.11
2008-08-26,2300.0,116.27
2008-08-27,2275.0,118.15
2008-08-28,2260.0,115.59
2008-08-29,2275.0,115.46
2008-09-02,2225.0,109.71
2008-09-03,2195.0,109.35
2008-09-04,2196.0,107.89
2008-09-05,2148.0,106.23
2008-09-08,2162.0,106.34
2008-09-09,2147.0,103.26
2008-09-10,2158.0,102.58
2008-09-11,2147.0,100.87
2008-09-12,2149.0,101.18
2008-09-15,2164.0,95.71
2008-09-16,2062.0,91.15
2008-09-17,2066.0,97.16
2008-09-18,2063.0,97.88
2008-09-19,2097.0,104.55
2008-09-22,2141.0,120.92
2008-09-23,2123.0,106.61
2008-09-24,2128.0,105.73
2008-09-25,2146.0,108.02
2008-09-26,2077.0,106.89
2008-09-29,2011.0,96.37
2008-09-30,1992.0,100.64
2008-10-01,1980.0,98.53
2008-10-02,1945.0,93.97
2008-10-03,1921.0,93.88
2008-10-06,1816.0,87.81
2008-10-07,1826.0,90.06
2008-10-08,1715.0,88.95
2008-10-09,1773.0,86.59
2008-10-10,1700.0,77.7
2008-10-13,1763.0,81.19
2008-10-14,1793.0,78.63
2008-10-15,1722.0,74.54
2008-10-16,1715.0,69.85
2008-10-17,1740.0,71.85
2008-10-20,1724.0,74.25
2008-10-21,1718.0,70.89
2008-10-22,1693.0,66.75
2008-10-23,1650.0,67.84
2008-10-24,1610.0,64.15
2008-10-27,1542.0,63.22
2008-10-28,1545.0,62.73
2008-10-29,1562.0,67.5
2008-10-30,1537.0,65.96
2008-10-31,1558.0,67.81
2008-11-03,1561.0,63.91
2008-11-04,1675.0,70.53
2008-11-05,1695.0,65.3
2008-11-06,1621.0,60.77
2008-11-07,1625.0,61.04
2008-11-10,1745.0,62.41
2008-11-11,1713.0,59.33
2008-11-12,1685.0,56.16
2008-11-13,1670.0,58.24
2008-11-14,1675.0,57.04
2008-11-17,1661.0,54.95
2008-11-18,1669.0,54.39
2008-11-19,1655.0,53.62
2008-11-20,1625.0,49.62
2008-11-21,1622.0,49.93
2008-11-24,1674.0,54.5
2008-11-25,1681.0,50.77
2008-11-26,1721.0,54.44
2008-11-28,1746.0,54.43
2008-12-01,1694.0,49.28
2008-12-02,1675.0,46.96
2008-12-03,1669.0,46.79
2008-12-04,1580.0,43.67
2008-12-05,1564.0,40.81
2008-12-08,1605.0,43.71
2008-12-09,1619.0,42.07
2008-12-10,1646.0,43.52
2008-12-11,1661.0,47.98
2008-12-12,1641.0,46.28
2008-12-15,1638.0,44.51
2008-12-16,1620.0,43.6
2008-12-17,1634.0,40.06
2008-12-18,1648.0,36.22
2008-12-19,1597.0,33.87
2008-12-22,1573.0,39.91
2008-12-23,1547.0,38.98
2008-12-24,1549.0,35.35
2008-12-29,1533.0,40.02
2008-12-30,1544.0,39.03
2008-12-31,1522.0,44.6
2009-01-02,1565.0,46.34
2009-01-05,1545.0,48.81
2009-01-06,1648.0,48.58
2009-01-07,1623.0,42.63
2009-01-08,1620.0,41.7
2009-01-09,1674.0,40.83
2009-01-12,1639.0,37.59
2009-01-13,1623.0,37.78
2009-01-14,1614.0,37.28
2009-01-15,1609.0,35.4
2009-01-16,1662.0,36.51
2009-01-20,1656.0,38.74
2009-01-21,1668.0,43.55
2009-01-22,1695.0,43.67
2009-01-23,1706.0,46.47
2009-01-26,1718.0,45.73
2009-01-27,1715.0,41.58
