Date,price_coffee,price_oil,prediction
2008-02-04,2165.0,90.02,2043.5017
2008-02-05,2166.0,88.41,2053.44
2008-02-06,2175.0,87.14,2064.0273
2008-02-07,2194.0,88.11,2073.6494
2008-02-08,2220.0,91.77,2082.846
2008-02-11,2200.0,93.59,2092.5017
2008-02-12,2197.0,92.78,2100.7908
2008-02-13,2267.0,93.27,2106.6191
2008-02-14,2356.0,95.46,2112.9514
2008-02-15,2357.0,95.5,2123.4895
2008-02-19,2380.0,100.01,2138.328
2008-02-20,2380.0,100.74,2157.8862
2008-02-21,2436.0,98.23,2180.811
2008-02-22,2495.0,98.81,2204.1343
2008-02-25,2561.0,99.23,2224.838
2008-02-26,2527.0,100.88,2244.001
2008-02-27,2624.0,99.64,2261.2896
2008-02-28,2711.0,102.59,2281.2302
2008-02-29,2718.0,101.84,2306.7463
2008-03-03,2721.0,102.45,2332.4836
2008-03-04,2722.0,99.52,2354.321
2008-03-05,2751.0,104.52,2368.4685
2008-03-06,2588.0,105.47,2374.717
2008-03-07,2469.0,105.15,2360.8035
2008-03-10,2481.0,107.9,2328.5322
2008-03-11,2517.0,108.75,2291.4382
2008-03-12,2587.0,109.92,2265.53
2008-03-13,2676.0,110.33,2258.0598
2008-03-14,2566.0,110.21,2273.8425
2008-03-17,2381.0,105.68,2296.058
2008-03-18,2391.0,109.42,2315.211
2008-03-19,2280.0,104.48,2308.123
2008-03-20,2188.0,101.84,2273.209
2008-03-25,2240.0,101.22,2215.0188
2008-03-26,2242.0,105.9,2161.6414
2008-03-27,2314.0,107.58,2127.5327
2008-03-28,2255.0,105.62,2119.6113
2008-03-31,2234.0,101.58,2131.4568
2008-04-01,2208.0,100.98,2145.416
2008-04-02,2197.0,104.83,2154.7278
2008-04-03,2220.0,103.83,2156.6592
2008-04-04,2212.0,106.23,2147.8003
2008-04-07,2210.0,109.09,2130.92
2008-04-08,2213.0,108.5,2116.3984
2008-04-09,2255.0,110.87,2112.9258
2008-04-10,2233.0,110.11,2114.98
2008-04-11,2233.0,110.14,2120.395
2008-04-14,2235.0,111.76,2127.7163
2008-04-15,2235.0,113.79,2133.01
2008-04-16,2271.0,114.93,2135.5933
2008-04-17,2330.0,114.86,2136.0586
2008-04-18,2272.0,116.69,2139.4678
2008-04-21,2239.0,117.48,2145.9446
2008-04-22,2320.0,119.37,2152.4565
2008-04-23,2260.0,118.3,2159.123
2008-04-24,2256.0,116.06,2161.9675
2008-04-25,2213.0,118.52,2159.4146
2008-04-28,2255.0,118.75,2151.31
2008-04-29,2220.0,115.63,2142.888
2008-04-30,2220.0,113.46,2134.1267
2008-05-01,2106.0,112.52,2126.8528
2008-05-02,2105.0,116.32,2118.1274
2008-05-05,2105.0,119.97,2104.85
2008-05-06,2120.0,121.84,2085.7864
2008-05-07,2101.0,123.53,2069.9055
2008-05-08,2101.0,123.69,2058.8682
2008-05-09,2180.0,125.96,2056.7632
2008-05-12,2208.0,124.23,2060.943
2008-05-13,2218.0,125.8,2068.8706
2008-05-14,2205.0,124.22,2083.8252
2008-05-15,2205.0,124.12,2099.9019
2008-05-16,2234.0,126.29,2114.8333
2008-05-19,2215.0,127.05,2124.8252
2008-05-20,2237.0,129.07,2129.0842
2008-05-21,2281.0,133.17,2128.7134
2008-05-22,2202.0,130.81,2129.149
2008-05-23,2205.0,132.19,2130.2695
2008-05-27,2195.0,128.85,2131.0066
2008-05-28,2144.0,131.03,2128.996
